destination_id,nr_listings,from_price,currency_code,parent_id1,type1,slug1,parent_id2,type2,slug2,parent_id3,type3,slug3,concat,name
3119,51,16000,USD,3513,state,chumphon-archipelago,2805,country,thailand,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/thailand/chumphon-archipelago,Chumphon Archipelago
1824,3,31500,EUR,2617,state,cliffs-of-moher,2968,country,ireland,0,continent,europe,www.bookyogaretreats.com/all/d/europe/ireland/cliffs-of-moher,Cliffs of Moher
4607,4,13000,USD,3340,state,cobano,3490,country,costa-rica,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/costa-rica/cobano,Cobano
2083,4,115700,EUR,2585,state,coimbatore,2805,country,india,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/india/coimbatore,Coimbatore
11,12,33600,EUR,3276,state,colares,2968,country,portugal,0,continent,europe,www.bookyogaretreats.com/all/d/europe/portugal/colares,Colares
2488,4,17000,USD,3490,country,colombia,0,continent,the-americas-and-caribbean,NULL,NULL,NULL,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/colombia,Colombia
750,3,60000,USD,3470,state,colorado,3490,country,usa,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/usa/colorado,Colorado
2709,6,39900,EUR,3276,state,columbeira,2968,country,portugal,0,continent,europe,www.bookyogaretreats.com/all/d/europe/portugal/columbeira,Columbeira
3338,6,29500,EUR,2675,state,conil-de-la-frontera,2968,country,spain,0,continent,europe,www.bookyogaretreats.com/all/d/europe/spain/conil-de-la-frontera,Conil de la Frontera
2601,3,145000,AUD,2805,country,cook-islands,0,continent,asia-and-oceania,NULL,NULL,NULL,www.bookyogaretreats.com/all/d/asia-and-oceania/cook-islands,Cook Islands
1795,7,39000,EUR,2874,state,corfu,2968,country,greece,0,continent,europe,www.bookyogaretreats.com/all/d/europe/greece/corfu,Corfu
2923,8,27500,GBP,3383,state,cornwall,2968,country,united-kingdom,0,continent,europe,www.bookyogaretreats.com/all/d/europe/united-kingdom/cornwall,Cornwall
5,3,55000,NZD,2373,state,coromandel,2805,country,new-zealand,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/new-zealand/coromandel,Coromandel
2061,9,30000,EUR,2675,state,corralejo,2968,country,spain,0,continent,europe,www.bookyogaretreats.com/all/d/europe/spain/corralejo,Corralejo
1621,3,45000,EUR,2675,state,cortijo,2968,country,spain,0,continent,europe,www.bookyogaretreats.com/all/d/europe/spain/cortijo,Cortijo
3022,32,29900,GBP,2675,state,costa-blanca,2968,country,spain,0,continent,europe,www.bookyogaretreats.com/all/d/europe/spain/costa-blanca,Costa Blanca
2906,3,29500,EUR,2675,state,costa-de-la-luz,2968,country,spain,0,continent,europe,www.bookyogaretreats.com/all/d/europe/spain/costa-de-la-luz,Costa de la Luz
3037,18,21000,EUR,2675,state,costa-del-sol,2968,country,spain,0,continent,europe,www.bookyogaretreats.com/all/d/europe/spain/costa-del-sol,Costa del Sol
3340,208,13000,USD,3490,country,costa-rica,0,continent,the-americas-and-caribbean,NULL,NULL,NULL,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/costa-rica,Costa Rica
895,9,19600,EUR,2948,state,costa-smeralda,2968,country,italy,0,continent,europe,www.bookyogaretreats.com/all/d/europe/italy/costa-smeralda,Costa Smeralda
5617,6,36000,EUR,3276,state,costa-vicentina-national-park,2968,country,portugal,0,continent,europe,www.bookyogaretreats.com/all/d/europe/portugal/costa-vicentina-national-park,Costa Vicentina National Park
5442,3,30000,EUR,3235,state,coudures,2968,country,france,0,continent,europe,www.bookyogaretreats.com/all/d/europe/france/coudures,Coudures
6408,4,31500,EUR,2617,state,county-clare,2968,country,ireland,0,continent,europe,www.bookyogaretreats.com/all/d/europe/ireland/county-clare,County Clare
3554,27,46000,EUR,2874,state,crete,2968,country,greece,0,continent,europe,www.bookyogaretreats.com/all/d/europe/greece/crete,Crete
1747,37,45000,EUR,2968,country,croatia,0,continent,europe,NULL,NULL,NULL,www.bookyogaretreats.com/all/d/europe/croatia,Croatia
2681,5,140000,CAD,3490,country,cuba,0,continent,the-americas-and-caribbean,NULL,NULL,NULL,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/cuba,Cuba
3465,4,40000,GBP,3383,state,cumbria,2968,country,united-kingdom,0,continent,europe,www.bookyogaretreats.com/all/d/europe/united-kingdom/cumbria,Cumbria
2961,23,12500,USD,3466,state,cusco,3490,country,peru,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/peru/cusco,Cusco
2791,22,20000,EUR,2874,state,cyclades,2968,country,greece,0,continent,europe,www.bookyogaretreats.com/all/d/europe/greece/cyclades,Cyclades
3424,14,65000,EUR,2968,country,cyprus,0,continent,europe,NULL,NULL,NULL,www.bookyogaretreats.com/all/d/europe/cyprus,Cyprus
2553,3,45000,GBP,969,state,dahab,3258,country,egypt,0,continent,africa-and-the-middle-east,www.bookyogaretreats.com/all/d/africa-and-the-middle-east/egypt/dahab,Dahab
62,3,85000,EUR,2965,state,dalaman,3258,country,turkey,0,continent,africa-and-the-middle-east,www.bookyogaretreats.com/all/d/africa-and-the-middle-east/turkey/dalaman,Dalaman
2040,9,57500,EUR,1747,state,dalmatia,2968,country,croatia,0,continent,europe,www.bookyogaretreats.com/all/d/europe/croatia/dalmatia,Dalmatia
6033,3,68200,EUR,1747,state,dalmatian-coast,2968,country,croatia,0,continent,europe,www.bookyogaretreats.com/all/d/europe/croatia/dalmatian-coast,Dalmatian Coast
1017,8,43000,GBP,2965,state,dalyan,3258,country,turkey,0,continent,africa-and-the-middle-east,www.bookyogaretreats.com/all/d/africa-and-the-middle-east/turkey/dalyan,Dalyan
7354,8,294000,USD,2372,state,dambulla,2805,country,sri-lanka,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/sri-lanka/dambulla,Dambulla
802,3,27000,USD,3436,state,damnak-chang-aeur,2805,country,cambodia,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/cambodia/damnak-chang-aeur,Damnak Chang'aeur
1394,3,120000,USD,2585,state,darjeeling,2805,country,india,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/india/darjeeling,Darjeeling
4081,4,42000,GBP,3383,state,dartmoor,2968,country,united-kingdom,0,continent,europe,www.bookyogaretreats.com/all/d/europe/united-kingdom/dartmoor,Dartmoor
120,4,82500,ILS,2547,state,dead-sea,3258,country,israel,0,continent,africa-and-the-middle-east,www.bookyogaretreats.com/all/d/africa-and-the-middle-east/israel/dead-sea,Dead sea
2974,16,25000,USD,2585,state,dehradun,2805,country,india,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/india/dehradun,Dehradun
2892,19,4000000,INR,2585,state,delhi,2805,country,india,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/india/delhi,Delhi
3242,5,33000,EUR,2675,state,denia,2968,country,spain,0,continent,europe,www.bookyogaretreats.com/all/d/europe/spain/denia,Denia
1587,11,26000,GBP,3383,state,devon,2968,country,united-kingdom,0,continent,europe,www.bookyogaretreats.com/all/d/europe/united-kingdom/devon,Devon
128,27,28000,EUR,2585,state,dharamsala,2805,country,india,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/india/dharamsala,Dharamsala
5052,3,50000,USD,2360,state,dhulikhel-1,2805,country,nepal,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/nepal/dhulikhel-1,Dhulikhel
1864,3,1900000,THB,3513,state,doi-saket,2805,country,thailand,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/thailand/doi-saket,Doi Saket
318,4,57500,EUR,1747,state,dol,2968,country,croatia,0,continent,europe,www.bookyogaretreats.com/all/d/europe/croatia/dol,Dol
2536,3,28000,EUR,2826,state,domburg,2968,country,netherlands,0,continent,europe,www.bookyogaretreats.com/all/d/europe/netherlands/domburg,Domburg
3609,7,44500,USD,3340,state,dominical,3490,country,costa-rica,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/costa-rica/dominical,Dominical
3496,10,18000,USD,3490,country,dominican-republic,0,continent,the-americas-and-caribbean,NULL,NULL,NULL,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/dominican-republic,Dominican Republic
5565,6,1365000,THB,3513,state,don-sila,2805,country,thailand,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/thailand/don-sila,Don Sila
3549,6,55000,GBP,3235,state,dordogne,2968,country,france,0,continent,europe,www.bookyogaretreats.com/all/d/europe/france/dordogne,Dordogne
1553,3,32000,GBP,3383,state,dorset,2968,country,united-kingdom,0,continent,europe,www.bookyogaretreats.com/all/d/europe/united-kingdom/dorset,Dorset
5180,4,68200,EUR,1747,state,dubrovnik,2968,country,croatia,0,continent,europe,www.bookyogaretreats.com/all/d/europe/croatia/dubrovnik,Dubrovnik
