Ad state,Ad,Description line 1,Description line 2,Display URL,Final URL,Device preference type,Campaign,Ad group,Ad type
enabled,Best Yoga Retreats 2016,15 Deals in Big Island!,Compare and Book from Top Packages,www.BookYogaRetreats.com/BigIsland,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/usa/big-island,All,Longtail USA - Big Island,Longtail Retreats Big Island,Text ad
enabled,Best Yoga Retreats 2016,50 Deals in Koh Phangan!,Compare and Book from Top Packages,www.BookYogaRetreats.com/KohPhangan,www.bookyogaretreats.com/all/d/asia-and-oceania/thailand/koh-phangan,All,Longtail Thailand - Koh Phangan,Longtail Retreats Koh Phangan,Text ad
enabled,Best Yoga Retreats 2016,8 Deals in Pak Song!,Compare and Book from Top Packages,www.BookYogaRetreats.com/PakSong,www.bookyogaretreats.com/all/d/asia-and-oceania/thailand/pak-song,All,Longtail Thailand - Pak Song,Longtail Retreats Pak Song,Text ad
enabled,Best Yoga Retreats 2016,5 Deals in Savinja!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Savinja,www.bookyogaretreats.com/all/d/europe/slovenia/savinja,All,Longtail Slovenia - Savinja,Longtail Retreats Savinja,Text ad
enabled,Best Yoga Retreats 2016,4 Deals in Lefkada!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Lefkada,www.bookyogaretreats.com/all/d/europe/greece/lefkada,All,Longtail Greece - Lefkada,Longtail Retreats Lefkada,Text ad
enabled,Best Yoga Retreats 2016,7 Deals in Corfu!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Corfu,www.bookyogaretreats.com/all/d/europe/greece/corfu,All,Longtail Greece - Corfu,Longtail Retreats Corfu,Text ad
enabled,Best Yoga Retreats 2016,3 Deals in Zakynthos!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Zakynthos,www.bookyogaretreats.com/all/d/europe/greece/zakynthos,All,Longtail Greece - Zakynthos,Longtail Retreats Zakynthos,Text ad
enabled,Best Yoga Retreats 2016,17 Deals in Kata Beach!,Compare and Book from Top Packages,www.BookYogaRetreats.com/KataBeach,www.bookyogaretreats.com/all/d/asia-and-oceania/thailand/kata-beach,All,Longtail Thailand - Kata Beach,Longtail Retreats Kata Beach,Text ad
enabled,Best Yoga Retreats 2016,8 Deals in Chumphon!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Chumphon,www.bookyogaretreats.com/all/d/asia-and-oceania/thailand/chumphon,All,Longtail Thailand - Chumphon,Longtail Retreats Chumphon,Text ad
enabled,Best Yoga Retreats 2016,4 Deals in Amsterdam!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Amsterdam,www.bookyogaretreats.com/all/d/europe/netherlands/amsterdam,All,Longtail Netherlands - Amsterdam,Longtail Retreats Amsterdam,Text ad
enabled,Best Yoga Retreats 2016,5 Deals in Kapaau!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Kapaau,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/usa/kapaau,All,Longtail USA - Kapaau,Longtail Retreats Kapaau,Text ad
enabled,Best Yoga Retreats 2016,8 Deals in Zeeland!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Zeeland,www.bookyogaretreats.com/all/d/europe/netherlands/zeeland,All,Longtail Netherlands - Zeeland,Longtail Retreats Zeeland,Text ad
enabled,Best Yoga Retreats 2016,6 Deals in Gelderland!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Gelderland,www.bookyogaretreats.com/all/d/europe/netherlands/gelderland,All,Longtail Netherlands - Gelderland,Longtail Retreats Gelderland,Text ad
enabled,Best Yoga Retreats 2016,27 Deals in Santa Teresa!,Compare and Book from Top Packages,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/costa-rica/santa-teresa,All,Longtail Costa Rica - Santa Teresa,Longtail Retreats Santa Teresa,Text ad
enabled,Best Yoga Retreats 2016,3 Deals in Cliffs of Moher!,Compare and Book from Top Packages,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/europe/ireland/cliffs-of-moher,All,Longtail Ireland - Cliffs of Moher,Longtail Retreats Cliffs of Moher,Text ad
enabled,Best Yoga Retreats 2016,26 Deals in Na Muang!,Compare and Book from Top Packages,www.BookYogaRetreats.com/NaMuang,www.bookyogaretreats.com/all/d/asia-and-oceania/thailand/na-muang,All,Longtail Thailand - Na Muang,Longtail Retreats Na Muang,Text ad
enabled,Best Yoga Retreats 2016,11 Deals in Sussex!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Sussex,www.bookyogaretreats.com/all/d/europe/united-kingdom/sussex,All,Longtail United Kingdom - Sussex,Longtail Retreats Sussex,Text ad
enabled,Best Yoga Retreats 2016,5 Deals in Lasko!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Lasko,www.bookyogaretreats.com/all/d/europe/slovenia/lasko,All,Longtail Slovenia - Lasko,Longtail Retreats Lasko,Text ad
enabled,Best Yoga Retreats 2016,5 Deals in Hum!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Hum,www.bookyogaretreats.com/all/d/europe/slovenia/hum,All,Longtail Slovenia - Hum,Longtail Retreats Hum,Text ad
enabled,Best Yoga Retreats 2016,11 Deals in Atlas Mountains!,Compare and Book from Top Packages,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/africa-and-the-middle-east/morocco/atlas-mountains,All,Longtail Morocco - Atlas Mountains,Longtail Retreats Atlas Mountains,Text ad
enabled,Best Yoga Retreats 2016,3 Deals in Doi Saket!,Compare and Book from Top Packages,www.BookYogaRetreats.com/DoiSaket,www.bookyogaretreats.com/all/d/asia-and-oceania/thailand/doi-saket,All,Longtail Thailand - Doi Saket,Longtail Retreats Doi Saket,Text ad
enabled,Best Yoga Retreats 2016,20 Deals in Sintra!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Sintra,www.bookyogaretreats.com/all/d/europe/portugal/sintra,All,Longtail Portugal - Sintra,Longtail Retreats Sintra,Text ad
enabled,Best Yoga Retreats 2016,11 Deals in Haute-Savoie!,Compare and Book from Top Packages,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/europe/france/haute-savoie,All,Longtail France - Haute-Savoie,Longtail Retreats Haute-Savoie,Text ad
enabled,Best Yoga Retreats 2016,8 Deals in Reykjavik!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Reykjavik,www.bookyogaretreats.com/all/d/europe/iceland/reykjavik,All,Longtail Iceland - Reykjavik,Longtail Retreats Reykjavik,Text ad
enabled,Best Yoga Retreats 2016,5 Deals in Amazon!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Amazon2,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/peru/amazon--2,All,Longtail Peru - Amazon,Longtail Retreats Amazon,Text ad
enabled,Best Yoga Retreats 2016,5 Deals in Ao Nang!,Compare and Book from Top Packages,www.BookYogaRetreats.com/AoNang,www.bookyogaretreats.com/all/d/asia-and-oceania/thailand/ao-nang,All,Longtail Thailand - Ao Nang,Longtail Retreats Ao Nang,Text ad
